1,Initial Title
2,Initial Body
3,Initial Tags
4,Edit Title
5,Edit Body
6,Edit Tags
7,Rollback Title
8,Rollback Body
9,Rollback Tags
10,Post Closed
11,Post Reopened
12,Post Deleted
13,Post Undeleted
14,Post Locked
15,Post Unlocked
16,Community Owned
17,Post Migrated
18,Question Merged
19,Question Protected
20,Question Unprotected
21,Post Disassociated
22,Question Unmerged
23,Suggested Edit Applied
24,Post Tweeted
25,Comment discussion moved to chat
26,Post notice added
27,Post notice removed
28,Post migrated away
29,Post migrated here
30,Post merge source
31,Post merge destination
